event_id,date,location,latitude,longitude,coordinate_status,sector,evidence,exposure_type,cause,cause_category,source
FCO22-001,2022,Bajghera,,,missing,Gurugram,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-002,2022,Chandu,,,missing,Gurugram,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-003,2022,Budhera,,,missing,Gurugram,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-004,2022,Daultabad,,,missing,Gurugram,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-005,2022,Sultanpur,,,missing,Farrukhnagar,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-006,2022,Kaliawas,,,missing,Farrukhnagar,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-007,2022,Jhanjrola,,,missing,Farrukhnagar,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Najafgarh Drain,najafgarh_overflow,Flood Control Order 2022
FCO22-008,2022,Sarmathla,,,missing,Sohna,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sarhala Drain,sarhala_overflow,Flood Control Order 2022
FCO22-009,2022,Lohsingan,,,missing,Sohna,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sarhala Drain,sarhala_overflow,Flood Control Order 2022
FCO22-010,2022,Ghangola,,,missing,Sohna,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sarhala Drain,sarhala_overflow,Flood Control Order 2022
FCO22-011,2022,Khor,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-012,2022,Goriawas,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-013,2022,Khanpur,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-014,2022,Hera Heri,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-015,2022,Mumtazpur,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-016,2022,Turkapur,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-017,2022,Dewlawas,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-018,2022,Mubarakpur,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-019,2022,Muzaffra,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-020,2022,Shahpur Jat,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-021,2022,Inchapuri,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-022,2022,Bapas,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-023,2022,Barheri rehnwa,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-024,2022,Khalilpur,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-025,2022,Ghilnawas,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-026,2022,Rajpura,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-027,2022,Gudhana,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-028,2022,Jasat,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
FCO22-029,2022,Brijpura,,,missing,Pataudi,Dangerously exposed area; Table 3.1,dangerously_exposed,Overflow of Sabi and Indori River,sabi_indori_overflow,Flood Control Order 2022
