hotspot_id,latitude_clean,longitude_clean,coordinate_status,sector,location,cause,cause_category,mcg_status,low_lying_flag,blockage_silt_flag,missing_drain_flag,road_level_flag,pumping_flag,external_inflow_flag,source
H001,28.488572,77.102205,valid,Sector 24,Near Budwala Booster,"Water drain out through sewer line, no master drain is available in adjoining area.",missing_or_inadequate_drain,unspecified,0,0,1,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H002,28.48003,77.099612,valid,Sector 24,Nathupur near Harijan Basti,Water logging occures due to road level difference.,road_level_mismatch,unspecified,0,0,0,1,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H003,28.479154,77.094202,valid,Sector 28,Sikanderpur entry from Bristal chowk,"It is a low laying area, no strom water drain is available in adjoining area.",missing_or_inadequate_drain,unspecified,1,0,1,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H004,28.515706,77.072096,valid,Sector 22,Sunar wali gali Dundahera,"Low laying area, approx 4 feet deeper than main road and strom water is drain out through pumping.",pumping_dependency,unspecified,1,0,0,0,1,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H005,,,invalid_or_missing,Sector 22,Bank wali gali Dundahera,"Low laying area, main storm water drain is being de-silted.",drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H006,28.492295,77.058738,valid,Sector 18,Sarhol mod sector -18 T point,"Low laying area, GMDA has constructed storm water dain along Sanath road, but cleaning of storm water drain is required.",low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H007,28.481765,77.072026,valid,Sector 18,Indian oil service road sector 18,"Water logging due to low laying area, storm water drain is silt up and damaged condition.",drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H008,28.481765,77.072026,valid,Sector 18,Near LIC Office sector -18 — Near LIC Office sector - 18,"Water logging due to low laying area, storm water drain is silt up and damaged condition.",drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H009,28.487753,77.064395,valid,Sector 18,In front of plot no-75D sector 18,"Water looging due to low laying area, storm water drain has been puposed for the permanent solution of the issue.",low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H010,28.501758,77.067002,valid,Sector 21,In front of H.no-1128 sector 21,Water logging occurs due to blockage of GMDA storm water drain.,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
