sector,historical_hotspot_count,low_lying_flag,blockage_silt_flag,missing_drain_flag,road_level_flag,pumping_flag,external_inflow_flag,historical_risk_score
Sector 04,2,2,1,0,0,0,0,17.24137931034483
Sector 10,8,0,6,0,0,0,0,48.275862068965516
Sector 102,1,1,1,0,0,0,0,10.344827586206897
Sector 104,1,1,0,0,0,0,0,6.896551724137931
Sector 110,1,1,1,0,0,0,0,10.344827586206897
Sector 14,3,2,0,0,1,0,0,18.96551724137931
Sector 15,6,0,0,0,0,0,0,20.689655172413794
Sector 15 Part -II,1,1,0,0,0,0,0,6.896551724137931
Sector 15 part II,2,2,0,0,0,0,0,13.793103448275861
Sector 16,1,0,0,0,1,0,0,5.172413793103448
Sector 17A,1,0,1,0,0,0,0,6.896551724137931
Sector 17B,1,0,0,0,0,0,0,3.4482758620689653
Sector 18,4,4,2,0,0,0,0,34.48275862068966
Sector 2,3,3,0,0,0,0,0,20.689655172413794
Sector 21,3,0,3,0,0,0,0,20.689655172413794
Sector 22,2,1,1,0,0,1,0,15.517241379310345
Sector 23,1,1,0,0,0,0,0,6.896551724137931
Sector 24,3,0,0,1,1,0,1,17.24137931034483
Sector 26,1,1,0,0,0,0,0,6.896551724137931
Sector 28,2,1,0,1,0,0,1,15.517241379310345
Sector 3,5,5,5,0,0,0,0,51.724137931034484
Sector 30,1,1,0,0,0,0,0,6.896551724137931
Sector 31,1,1,0,0,0,0,0,6.896551724137931
Sector 33,3,3,1,0,0,0,0,24.137931034482758
Sector 38,1,1,0,0,0,0,0,6.896551724137931
Sector 39,3,3,0,0,0,0,0,20.689655172413794
Sector 4,10,10,9,0,0,0,0,100.0
Sector 40,1,1,0,0,0,0,0,6.896551724137931
Sector 41,2,2,0,0,0,0,0,13.793103448275861
Sector 43,3,2,0,0,0,0,1,18.96551724137931
Sector 45,3,2,0,0,0,0,1,18.96551724137931
Sector 46,1,1,0,0,0,0,0,6.896551724137931
Sector 47,4,3,1,0,0,0,0,27.586206896551722
Sector 48,3,3,0,0,0,0,0,20.689655172413794
Sector 49,2,2,0,0,0,0,0,13.793103448275861
Sector 5,9,0,0,0,0,0,0,31.03448275862069
Sector 50,2,2,0,0,0,0,0,13.793103448275861
Sector 51,1,1,0,0,0,0,0,6.896551724137931
Sector 52,1,1,0,0,0,0,1,8.620689655172415
Sector 54,1,1,0,0,0,0,1,8.620689655172415
Sector 55,1,1,0,0,0,0,0,6.896551724137931
Sector 56,4,1,1,0,0,0,0,20.689655172413794
Sector 57,1,1,0,0,0,0,0,6.896551724137931
Sector 57 part 1,1,0,1,0,0,0,0,6.896551724137931
Sector 59,3,3,0,0,0,0,0,20.689655172413794
Sector 6,2,0,0,0,0,0,0,6.896551724137931
Sector 62,2,1,0,1,0,0,0,13.793103448275861
Sector 65,4,3,1,0,0,0,0,27.586206896551722
Sector 66,2,2,0,0,0,0,0,13.793103448275861
Sector 67,2,2,0,0,0,0,0,13.793103448275861
Sector 68,2,2,0,0,0,0,0,13.793103448275861
Sector 69,1,0,0,0,0,0,0,3.4482758620689653
Sector 7,4,4,2,0,0,0,0,34.48275862068966
Sector 70,2,2,0,1,0,0,0,17.24137931034483
Sector 75A,1,1,0,0,0,0,0,6.896551724137931
Sector 9,2,2,1,0,0,0,0,17.24137931034483
Sector 9A,3,3,1,0,0,0,0,24.137931034482758
Sector 9B,2,2,1,0,0,0,0,17.24137931034483
